,Ramadan,flood,Post-Monsoon,Pre-Monsoon,Winter
2026-02-15,0,0,0,0,1
2026-02-22,1,0,0,0,1
2026-03-01,1,0,0,1,0
2026-03-08,1,0,0,1,0
2026-03-15,1,0,0,1,0
2026-03-22,0,0,0,1,0
2026-03-29,0,0,0,1,0
2026-04-05,0,0,0,1,0
2026-04-12,0,0,0,1,0
2026-04-19,0,0,0,1,0
2026-04-26,0,0,0,1,0
2026-05-03,0,1,0,1,0
2026-05-10,0,1,0,1,0
2026-05-17,0,1,0,1,0
2026-05-24,0,0,0,1,0
2026-05-31,0,0,0,1,0
2026-06-07,0,0,0,0,0
2026-06-14,0,0,0,0,0
2026-06-21,0,0,0,0,0
2026-06-28,0,0,0,0,0
2026-07-05,0,0,0,0,0
2026-07-12,0,0,0,0,0
2026-07-19,0,0,0,0,0
2026-07-26,0,0,0,0,0
2026-08-02,0,0,0,0,0
2026-08-09,0,0,0,0,0
2026-08-16,0,0,0,0,0
2026-08-23,0,0,0,0,0
2026-08-30,0,0,0,0,0
2026-09-06,0,0,0,0,0
2026-09-13,0,0,0,0,0
