Date,Price,flood,Ramadan,Season
2021-05-23,59.5,0,0,Pre-Monsoon
2021-05-30,59.0,0,0,Pre-Monsoon
2021-06-06,61.5,0,0,Monsoon
2021-06-13,61.5,0,0,Monsoon
2021-06-20,61.5,0,0,Monsoon
2021-06-27,61.1,0,0,Monsoon
2021-07-04,61.357142857142854,0,0,Monsoon
2021-07-11,62.5,0,0,Monsoon
2021-07-18,62.07142857142857,0,0,Monsoon
2021-07-25,62.0,0,0,Monsoon
2021-08-01,63.42857142857143,0,0,Monsoon
2021-08-08,64.0,0,0,Monsoon
2021-08-15,64.0,0,0,Monsoon
2021-08-22,64.0,0,0,Monsoon
2021-08-29,64.0,0,0,Monsoon
2021-09-05,62.8,0,0,Monsoon
2021-09-12,60.25,0,0,Monsoon
2021-09-19,60.0,0,0,Monsoon
2021-09-26,60.2,0,0,Monsoon
2021-10-03,61.666666666666664,0,0,Post-Monsoon
2021-10-10,62.0,0,0,Post-Monsoon
2021-10-17,60.5,0,0,Post-Monsoon
2021-10-24,61.6,0,0,Post-Monsoon
2021-10-31,62.25,0,0,Post-Monsoon
2021-11-07,62.4,0,0,Winter
2021-11-14,63.0,0,0,Winter
2021-11-21,62.25,0,0,Winter
2021-11-28,62.1,0,0,Winter
2021-12-05,63.0,0,0,Winter
2021-12-12,63.0,0,0,Winter
2021-12-19,63.0,0,0,Winter
2021-12-26,63.0,0,0,Winter
2022-01-02,63.125,0,0,Winter
2022-01-09,64.0,0,0,Winter
2022-01-16,65.0,0,0,Winter
2022-01-23,64.0,0,0,Winter
2022-01-30,64.0,0,0,Winter
2022-02-06,64.8,0,0,Winter
2022-02-13,64.0,0,0,Winter
2022-02-20,64.0,0,0,Winter
2022-02-27,65.66666666666667,0,0,Winter
2022-03-06,66.0,0,0,Pre-Monsoon
2022-03-13,65.75,0,0,Pre-Monsoon
2022-03-20,65.6,0,0,Pre-Monsoon
2022-03-27,65.45,0,1,Pre-Monsoon
2022-04-03,65.3,0,1,Pre-Monsoon
2022-04-10,65.15,0,1,Pre-Monsoon
2022-04-17,65.0,0,1,Pre-Monsoon
2022-04-24,64.0,0,1,Pre-Monsoon
2022-05-01,64.0,0,1,Pre-Monsoon
2022-05-08,64.0,0,1,Pre-Monsoon
2022-05-15,63.75,1,0,Pre-Monsoon
2022-05-22,63.5,1,0,Pre-Monsoon
2022-05-29,63.0,1,0,Pre-Monsoon
2022-06-05,66.25,1,0,Monsoon
2022-06-12,68.0,1,0,Monsoon
2022-06-19,69.5,1,0,Monsoon
2022-06-26,72.0,1,0,Monsoon
2022-07-03,71.375,1,0,Monsoon
2022-07-10,70.75,1,0,Monsoon
2022-07-17,70.125,1,0,Monsoon
2022-07-24,69.5,1,0,Monsoon
2022-07-31,70.1,1,0,Monsoon
2022-08-07,70.7,0,0,Monsoon
2022-08-14,71.3,0,0,Monsoon
2022-08-21,71.9,0,0,Monsoon
2022-08-28,72.5,0,0,Monsoon
2022-09-04,72.25,0,0,Monsoon
2022-09-11,72.0,0,0,Monsoon
2022-09-18,71.75,0,0,Monsoon
2022-09-25,71.5,0,0,Monsoon
2022-10-02,71.25,0,0,Post-Monsoon
2022-10-09,71.0,0,0,Post-Monsoon
2022-10-16,70.75,0,0,Post-Monsoon
2022-10-23,70.5,0,0,Post-Monsoon
2022-10-30,70.25,0,0,Post-Monsoon
2022-11-06,70.0,0,0,Winter
2022-11-13,69.75,0,0,Winter
2022-11-20,69.5,0,0,Winter
2022-11-27,69.25,0,0,Winter
2022-12-04,69.0,0,0,Winter
2022-12-11,68.75,0,0,Winter
2022-12-18,68.5,0,0,Winter
2022-12-25,67.5,0,0,Winter
2023-01-01,66.5,0,0,Winter
2023-01-08,66.5,0,0,Winter
2023-01-15,66.28571428571429,0,0,Winter
2023-01-22,66.5,0,0,Winter
2023-01-29,67.21428571428571,0,0,Winter
2023-02-05,67.5,0,0,Winter
2023-02-12,67.5,0,0,Winter
2023-02-19,67.5,0,0,Winter
2023-02-26,67.5,0,0,Winter
2023-03-05,67.5,0,0,Pre-Monsoon
2023-03-12,67.5,0,0,Pre-Monsoon
2023-03-19,67.5,0,1,Pre-Monsoon
2023-03-26,67.5,0,1,Pre-Monsoon
2023-04-02,67.5,0,1,Pre-Monsoon
2023-04-09,67.5,0,1,Pre-Monsoon
2023-04-16,67.5,0,1,Pre-Monsoon
2023-04-23,67.5,0,1,Pre-Monsoon
2023-04-30,67.78571428571429,0,0,Pre-Monsoon
2023-05-07,67.5,0,0,Pre-Monsoon
2023-05-14,67.5,0,0,Pre-Monsoon
2023-05-21,67.5,0,0,Pre-Monsoon
2023-05-28,67.5,0,0,Pre-Monsoon
2023-06-04,67.5,0,0,Monsoon
