Date,Price,flood,Ramadan,Season
2021-05-23,120.0,0,0,Pre-Monsoon
2021-05-30,124.33333333333333,0,0,Pre-Monsoon
2021-06-06,127.5,0,0,Monsoon
2021-06-13,127.25,0,0,Monsoon
2021-06-20,125.0,0,0,Monsoon
2021-06-27,121.5,0,0,Monsoon
2021-07-04,119.0,0,0,Monsoon
2021-07-11,117.57142857142857,0,0,Monsoon
2021-07-18,117.35714285714286,0,0,Monsoon
2021-07-25,117.0,0,0,Monsoon
2021-08-01,121.42857142857143,0,0,Monsoon
2021-08-08,122.75,0,0,Monsoon
2021-08-15,122.75,0,0,Monsoon
2021-08-22,124.6,0,0,Monsoon
2021-08-29,127.66666666666667,0,0,Monsoon
2021-09-05,126.5,0,0,Monsoon
2021-09-12,131.875,0,0,Monsoon
2021-09-19,132.6,0,0,Monsoon
2021-09-26,132.5,0,0,Monsoon
2021-10-03,132.83333333333334,0,0,Post-Monsoon
2021-10-10,135.0,0,0,Post-Monsoon
2021-10-17,137.5,0,0,Post-Monsoon
2021-10-24,141.1,0,0,Post-Monsoon
2021-10-31,144.25,0,0,Post-Monsoon
2021-11-07,141.7,0,0,Winter
2021-11-14,142.3,0,0,Winter
2021-11-21,142.5,0,0,Winter
2021-11-28,142.7,0,0,Winter
2021-12-05,142.5,0,0,Winter
2021-12-12,141.5,0,0,Winter
2021-12-19,142.0,0,0,Winter
2021-12-26,142.5,0,0,Winter
2022-01-02,139.875,0,0,Winter
2022-01-09,141.83333333333334,0,0,Winter
2022-01-16,145.0,0,0,Winter
2022-01-23,147.0,0,0,Winter
2022-01-30,147.35714285714286,0,0,Winter
2022-02-06,147.5,0,0,Winter
2022-02-13,148.5,0,0,Winter
2022-02-20,158.375,0,0,Winter
2022-02-27,162.91666666666666,0,0,Winter
2022-03-06,170.0,0,0,Pre-Monsoon
2022-03-13,165.5,0,0,Pre-Monsoon
2022-03-20,163.13333333333333,0,0,Pre-Monsoon
2022-03-27,160.76666666666665,0,1,Pre-Monsoon
2022-04-03,158.4,0,1,Pre-Monsoon
2022-04-10,156.03333333333333,0,1,Pre-Monsoon
2022-04-17,153.66666666666666,0,1,Pre-Monsoon
2022-04-24,159.66666666666666,0,1,Pre-Monsoon
2022-05-01,170.0,0,1,Pre-Monsoon
2022-05-08,179.0,0,1,Pre-Monsoon
2022-05-15,182.625,1,0,Pre-Monsoon
2022-05-22,186.25,1,0,Pre-Monsoon
2022-05-29,186.0,1,0,Pre-Monsoon
2022-06-05,185.5,1,0,Monsoon
2022-06-12,186.0,1,0,Monsoon
2022-06-19,188.5,1,0,Monsoon
2022-06-26,184.0,1,0,Monsoon
2022-07-03,180.625,1,0,Monsoon
2022-07-10,177.25,1,0,Monsoon
2022-07-17,173.875,1,0,Monsoon
2022-07-24,170.5,1,0,Monsoon
2022-07-31,171.2,1,0,Monsoon
2022-08-07,171.9,0,0,Monsoon
2022-08-14,172.6,0,0,Monsoon
2022-08-21,173.3,0,0,Monsoon
2022-08-28,174.0,0,0,Monsoon
2022-09-04,174.21875,0,0,Monsoon
2022-09-11,174.4375,0,0,Monsoon
2022-09-18,174.65625,0,0,Monsoon
2022-09-25,174.875,0,0,Monsoon
2022-10-02,175.09375,0,0,Post-Monsoon
2022-10-09,175.3125,0,0,Post-Monsoon
2022-10-16,175.53125,0,0,Post-Monsoon
2022-10-23,175.75,0,0,Post-Monsoon
2022-10-30,175.96875,0,0,Post-Monsoon
2022-11-06,176.1875,0,0,Winter
2022-11-13,176.40625,0,0,Winter
2022-11-20,176.625,0,0,Winter
2022-11-27,176.84375,0,0,Winter
2022-12-04,177.0625,0,0,Winter
2022-12-11,177.28125,0,0,Winter
2022-12-18,177.5,0,0,Winter
2022-12-25,175.5,0,0,Winter
2023-01-01,173.5,0,0,Winter
2023-01-08,173.5,0,0,Winter
2023-01-15,172.5,0,0,Winter
2023-01-22,169.0,0,0,Winter
2023-01-29,169.0,0,0,Winter
2023-02-05,169.0,0,0,Winter
2023-02-12,170.41666666666666,0,0,Winter
2023-02-19,170.21428571428572,0,0,Winter
2023-02-26,170.0,0,0,Winter
2023-03-05,170.0,0,0,Pre-Monsoon
2023-03-12,170.0,0,0,Pre-Monsoon
2023-03-19,170.0,0,1,Pre-Monsoon
2023-03-26,170.5,0,1,Pre-Monsoon
2023-04-02,172.35714285714286,0,1,Pre-Monsoon
2023-04-09,171.5,0,1,Pre-Monsoon
2023-04-16,171.5,0,1,Pre-Monsoon
2023-04-23,171.5,0,1,Pre-Monsoon
2023-04-30,171.28571428571428,0,0,Pre-Monsoon
2023-05-07,171.9,0,0,Pre-Monsoon
2023-05-14,179.28571428571428,0,0,Pre-Monsoon
2023-05-21,182.08333333333334,0,0,Pre-Monsoon
2023-05-28,180.0,0,0,Pre-Monsoon
2023-06-04,180.0,0,0,Monsoon
2023-06-11,180.0,0,0,Monsoon
2023-06-18,173.0,0,0,Monsoon
2023-06-25,171.0,0,0,Monsoon
2023-07-02,171.0,0,0,Monsoon
2023-07-09,171.0,0,0,Monsoon
2023-07-16,169.875,0,0,Monsoon
2023-07-23,162.75,0,0,Monsoon
2023-07-30,162.5,0,0,Monsoon
2023-08-06,162.5,1,0,Monsoon
2023-08-13,162.5,1,0,Monsoon
2023-08-20,157.5,1,0,Monsoon
2023-08-27,157.5,0,0,Monsoon
2023-09-03,157.5,0,0,Monsoon
2023-09-10,157.5,0,0,Monsoon
2023-09-17,157.5,0,0,Monsoon
2023-09-24,157.5,0,0,Monsoon
2023-10-01,157.5,0,0,Post-Monsoon
2023-10-08,157.5,0,0,Post-Monsoon
2023-10-15,157.5,0,0,Post-Monsoon
2023-10-22,151.5,0,0,Post-Monsoon
2023-10-29,146.25,0,0,Post-Monsoon
2023-11-05,145.0,0,0,Winter
2023-11-12,148.33333333333334,0,0,Winter
2023-11-19,152.5,0,0,Winter
2023-11-26,152.5,0,0,Winter
2023-12-03,152.5,0,0,Winter
2023-12-10,152.71428571428572,0,0,Winter
2023-12-17,156.91666666666666,0,0,Winter
2023-12-24,157.5,0,0,Winter
2023-12-31,157.5,0,0,Winter
2024-01-07,157.5,0,0,Winter
2024-01-14,157.5,0,0,Winter
2024-01-21,157.5,0,0,Winter
2024-01-28,157.85714285714286,0,0,Winter
2024-02-04,161.28571428571428,0,0,Winter
2024-02-11,161.5,0,0,Winter
2024-02-18,158.64285714285714,0,0,Winter
2024-02-25,157.0,0,0,Winter
2024-03-03,154.33333333333334,0,0,Pre-Monsoon
2024-03-10,151.7,0,1,Pre-Monsoon
2024-03-17,151.5,0,1,Pre-Monsoon
2024-03-24,151.5,0,1,Pre-Monsoon
2024-03-31,151.5,0,1,Pre-Monsoon
2024-04-07,150.16666666666666,0,1,Pre-Monsoon
2024-04-14,147.5,0,1,Pre-Monsoon
2024-04-21,151.07142857142858,0,0,Pre-Monsoon
2024-04-28,151.14285714285714,0,0,Pre-Monsoon
2024-05-05,150.0,0,0,Pre-Monsoon
2024-05-12,149.28571428571428,0,0,Pre-Monsoon
2024-05-19,150.0,0,0,Pre-Monsoon
2024-05-26,147.5,0,0,Pre-Monsoon
2024-06-02,147.5,0,0,Monsoon
2024-06-09,147.5,0,0,Monsoon
2024-06-16,148.35714285714286,0,0,Monsoon
2024-06-23,149.83333333333334,0,0,Monsoon
2024-06-30,150.21428571428572,0,0,Monsoon
2024-07-07,150.0,0,0,Monsoon
2024-07-14,150.0,0,0,Monsoon
2024-07-21,150.0,0,0,Monsoon
2024-07-28,150.0,0,0,Monsoon
2024-08-04,150.0,0,0,Monsoon
2024-08-11,150.0,0,0,Monsoon
2024-08-18,149.0,0,0,Monsoon
2024-08-25,148.5,1,0,Monsoon
2024-09-01,148.33333333333334,1,0,Monsoon
2024-09-08,151.28571428571428,1,0,Monsoon
2024-09-15,152.78571428571428,1,0,Monsoon
2024-09-22,150.0,1,0,Monsoon
2024-09-29,151.3125,1,0,Monsoon
2024-10-06,153.0,0,0,Post-Monsoon
2024-10-13,153.4,0,0,Post-Monsoon
2024-10-20,154.07142857142858,0,0,Post-Monsoon
2024-10-27,156.21428571428572,0,0,Post-Monsoon
2024-11-03,158.58333333333334,0,0,Winter
2024-11-10,163.28571428571428,0,0,Winter
2024-11-17,169.64285714285714,0,0,Winter
2024-11-24,170.07142857142858,0,0,Winter
2024-12-01,167.07142857142858,0,0,Winter
2024-12-08,166.5,0,0,Winter
2024-12-15,164.71428571428572,0,0,Winter
2024-12-22,164.0,0,0,Winter
2024-12-29,164.0,0,0,Winter
2025-01-05,163.94444444444446,0,0,Winter
2025-01-12,164.0,0,0,Winter
2025-01-19,166.42857142857142,0,0,Winter
2025-01-26,170.71428571428572,0,0,Winter
2025-02-02,173.42857142857142,0,0,Winter
2025-02-09,178.85714285714286,0,0,Winter
2025-02-16,182.5,0,0,Winter
2025-02-23,187.5,0,0,Winter
2025-03-02,187.5,0,1,Pre-Monsoon
2025-03-09,184.57142857142858,0,1,Pre-Monsoon
2025-03-16,169.92857142857142,0,1,Pre-Monsoon
2025-03-23,161.9,0,1,Pre-Monsoon
2025-03-30,161.25,0,1,Pre-Monsoon
2025-04-06,161.66666666666666,0,1,Pre-Monsoon
