,Price,lower Price,upper Price
2021-05-23,31.0,,
2021-05-30,31.0,,
2021-06-06,31.0,,
2021-06-13,31.0,,
2021-06-20,31.0,,
2021-06-27,31.0,,
2021-07-04,31.0,,
2021-07-11,31.0,,
2021-07-18,31.0,,
2021-07-25,31.0,,
2021-08-01,30.285714285714285,,
2021-08-08,30.0,,
2021-08-15,30.0,,
2021-08-22,31.1,,
2021-08-29,31.5,,
2021-09-05,32.6,,
2021-09-12,32.125,,
2021-09-19,32.6,,
2021-09-26,33.0,,
2021-10-03,33.5,,
2021-10-10,33.5,,
2021-10-17,34.125,,
2021-10-24,34.0,,
2021-10-31,34.0,,
2021-11-07,33.9,,
2021-11-14,34.0,,
2021-11-21,34.0,,
2021-11-28,35.4,,
2021-12-05,36.0,,
2021-12-12,36.0,,
2021-12-19,36.0,,
2021-12-26,36.25,,
2022-01-02,36.25,,
2022-01-09,36.0,,
2022-01-16,36.5,,
2022-01-23,35.5,,
2022-01-30,35.5,,
2022-02-06,35.1,,
2022-02-13,34.5,,
2022-02-20,35.0,,
2022-02-27,35.0,,
2022-03-06,35.166666666666664,,
2022-03-13,36.5,,
2022-03-20,36.63333333333333,,
2022-03-27,36.766666666666666,,
2022-04-03,36.9,,
2022-04-10,37.03333333333333,,
2022-04-17,37.166666666666664,,
2022-04-24,36.166666666666664,,
2022-05-01,39.0,,
2022-05-08,36.5,,
2022-05-15,40.75,,
2022-05-22,45.0,,
2022-05-29,43.5,,
2022-06-05,47.375,,
2022-06-12,43.5,,
2022-06-19,42.5,,
2022-06-26,43.5,,
2022-07-03,42.875,,
2022-07-10,42.25,,
2022-07-17,41.625,,
2022-07-24,41.0,,
2022-07-31,43.0,,
2022-08-07,45.0,,
2022-08-14,47.0,,
2022-08-21,49.0,,
2022-08-28,51.0,,
2022-09-04,51.71875,,
2022-09-11,52.4375,,
2022-09-18,53.15625,,
2022-09-25,53.875,,
2022-10-02,54.59375,,
2022-10-09,55.3125,,
2022-10-16,56.03125,,
2022-10-23,56.75,,
2022-10-30,57.46875,,
2022-11-06,58.1875,,
2022-11-13,58.90625,,
2022-11-20,59.625,,
2022-11-27,60.34375,,
2022-12-04,61.0625,,
2022-12-11,61.78125,,
2022-12-18,62.5,,
2022-12-25,61.25,,
2023-01-01,60.0,,
2023-01-08,59.4,,
2023-01-15,59.857142857142854,,
2023-01-22,59.57142857142857,,
2023-01-29,59.0,,
2023-02-05,59.0,,
2023-02-12,57.0,,
2023-02-19,58.285714285714285,,
2023-02-26,57.916666666666664,,
2023-03-05,58.785714285714285,,
2023-03-12,59.0,,
2023-03-19,58.642857142857146,,
2023-03-26,56.5,,
2023-04-02,56.5,,
2023-04-09,56.5,,
2023-04-16,56.666666666666664,,
2023-04-23,56.5,,
2023-04-30,56.5,,
2023-05-07,56.5,,
2023-05-14,57.357142857142854,,
2023-05-21,57.5,,
2023-05-28,56.92857142857143,,
2023-06-04,55.9,,
2023-06-11,54.1,,
2023-06-18,53.5,,
2023-06-25,53.5,,
2023-07-02,53.5,,
2023-07-09,53.5,,
2023-07-16,51.625,,
2023-07-23,51.0,,
2023-07-30,51.0,,
