,Price,predicted_mean
2021-05-23,19.0,
2021-05-30,19.72222222222222,
2021-06-06,22.25,
2021-06-13,22.25,
2021-06-20,22.166666666666668,
2021-06-27,22.7,
2021-07-04,23.928571428571427,
2021-07-11,23.642857142857142,
2021-07-18,23.5,
2021-07-25,23.25,
2021-08-01,22.714285714285715,
2021-08-08,22.5,
2021-08-15,22.5,
2021-08-22,22.5,
2021-08-29,20.0,
2021-09-05,19.0,
2021-09-12,19.75,
2021-09-19,20.0,
2021-09-26,19.8,
2021-10-03,18.666666666666668,
2021-10-10,18.0,
2021-10-17,18.0,
2021-10-24,18.4,
2021-10-31,23.75,
2021-11-07,23.2,
2021-11-14,24.5,
2021-11-21,23.75,
2021-11-28,23.4,
2021-12-05,22.5,
2021-12-12,29.0,
2021-12-19,28.25,
2021-12-26,26.0,
2022-01-02,22.0,
2022-01-09,22.5,
2022-01-16,18.25,
2022-01-23,17.166666666666668,
2022-01-30,16.428571428571427,
2022-02-06,15.0,
2022-02-13,17.5,
2022-02-20,17.5,
2022-02-27,17.166666666666668,
2022-03-06,17.0,
2022-03-13,18.75,
2022-03-20,18.6,
2022-03-27,18.45,
2022-04-03,18.3,
2022-04-10,18.15,
2022-04-17,18.0,
2022-04-24,18.0,
2022-05-01,18.0,
2022-05-08,18.0,
2022-05-15,19.5625,
2022-05-22,21.125,
2022-05-29,21.5,
2022-06-05,22.25,
2022-06-12,23.5,
2022-06-19,23.5,
2022-06-26,29.0,
2022-07-03,28.625,
2022-07-10,28.25,
2022-07-17,27.875,
2022-07-24,27.5,
2022-07-31,27.6,
2022-08-07,27.7,
2022-08-14,27.8,
2022-08-21,27.9,
2022-08-28,28.0,
2022-09-04,27.875,
2022-09-11,27.75,
2022-09-18,27.625,
2022-09-25,27.5,
2022-10-02,27.375,
2022-10-09,27.25,
2022-10-16,27.125,
2022-10-23,27.0,
2022-10-30,26.875,
2022-11-06,26.75,
2022-11-13,26.625,
2022-11-20,26.5,
2022-11-27,26.375,
2022-12-04,26.25,
2022-12-11,26.125,
2022-12-18,26.0,
2022-12-25,22.5,
2023-01-01,19.0,
2023-01-08,21.4,
2023-01-15,23.214285714285715,
2023-01-22,23.357142857142858,
2023-01-29,27.285714285714285,
2023-02-05,27.333333333333332,
2023-02-12,24.25,
2023-02-19,22.285714285714285,
2023-02-26,21.416666666666668,
2023-03-05,20.714285714285715,
2023-03-12,20.25,
2023-03-19,18.857142857142858,
2023-03-26,18.9,
2023-04-02,23.214285714285715,
2023-04-09,24.0,
2023-04-16,27.666666666666668,
2023-04-23,29.0,
2023-04-30,31.142857142857142,
2023-05-07,33.9,
2023-05-14,37.5,
2023-05-21,37.5,
2023-05-28,39.42857142857143,
2023-06-04,38.4,
2023-06-11,37.9,
2023-06-18,36.5,
2023-06-25,36.9,
2023-07-02,37.5,
2023-07-09,39.0,
2023-07-16,42.25,
2023-07-23,38.5,
2023-07-30,38.0,
2023-08-06,38.0,
2023-08-13,38.0,
2023-08-20,38.0,
2023-08-27,40.5,
2023-09-03,43.5,
2023-09-10,43.5,
2023-09-17,43.5,
2023-09-24,45.5,
2023-10-01,43.5,
2023-10-08,45.5,
2023-10-15,43.5,
2023-10-22,46.1,
2023-10-29,51.833333333333336,
2023-11-05,57.5,
2023-11-12,47.916666666666664,
2023-11-19,49.214285714285715,
2023-11-26,47.5,
2023-12-03,43.5,
2023-12-10,50.214285714285715,
2023-12-17,51.666666666666664,
2023-12-24,60.0,
2023-12-31,61.25,
2024-01-07,60.0,
2024-01-14,57.5,
2024-01-21,47.857142857142854,
2024-01-28,44.285714285714285,
2024-02-04,42.92857142857143,
2024-02-11,35.25,
2024-02-18,29.642857142857142,
2024-02-25,28.166666666666668,
2024-03-03,29.0,
2024-03-10,32.5,
2024-03-17,35.833333333333336,
2024-03-24,39.916666666666664,
2024-03-31,41.333333333333336,
2024-04-07,42.5,
2024-04-14,44.5,
2024-04-21,49.642857142857146,
2024-04-28,50.214285714285715,
2024-05-05,52.083333333333336,
2024-05-12,51.357142857142854,
2024-05-19,51.5,
2024-05-26,51.7,
2024-06-02,53.625,
2024-06-09,57.5,
2024-06-16,57.5,
2024-06-23,57.5,
2024-06-30,58.142857142857146,
2024-07-07,60.714285714285715,
2024-07-14,60.785714285714285,
2024-07-21,60.5,
2024-07-28,58.583333333333336,
2024-08-04,58.04166666666667,
2024-08-11,57.5,
2024-08-18,53.666666666666664,
2024-08-25,53.27272727272727,
2024-09-01,55.833333333333336,
2024-09-08,56.214285714285715,
2024-09-15,55.857142857142854,
2024-09-22,52.5,
2024-09-29,53.125,
2024-10-06,55.0,
2024-10-13,55.0,
2024-10-20,57.5,
2024-10-27,57.5,
2024-11-03,59.166666666666664,
2024-11-10,67.14285714285714,
2024-11-17,70.0,
2024-11-24,73.92857142857143,
2024-12-01,76.78571428571429,
2024-12-08,77.14285714285714,
2024-12-15,72.85714285714286,
2024-12-22,71.0,
2024-12-29,61.0,
2025-01-05,55.27777777777778,
2025-01-12,45.357142857142854,
2025-01-19,38.57142857142857,
2025-01-26,31.071428571428573,
2025-02-02,25.357142857142858,
2025-02-09,24.285714285714285,
2025-02-16,24.166666666666668,
2025-02-23,25.0,
2025-03-02,25.0,
2025-03-09,25.0,
2025-03-16,25.0,
2025-03-23,24.3,
2025-03-30,23.833333333333332,
2025-04-06,22.5,
2025-04-13,22.857142857142858,
2025-04-20,22.5,
2025-04-27,22.5,
2025-05-04,22.5,
2025-05-11,21.833333333333332,
2025-05-18,22.5,
2025-05-25,22.5,
2025-06-01,22.5,
2025-06-08,22.5,
2025-06-15,22.5,
2025-06-22,22.857142857142858,
2025-06-29,22.5,
2025-07-06,22.5,
2025-07-13,26.714285714285715,
2025-07-20,27.5,
2025-07-27,27.142857142857142,
2025-08-03,26.428571428571427,
2025-08-10,25.75,
2025-08-17,27.5,
2025-08-24,27.5,
2025-08-31,27.5,
2025-09-07,27.5,
2025-09-14,26.458333333333332,
2025-09-21,22.5,
2025-09-28,22.357142857142858,
2025-10-05,21.5,
2025-10-12,22.071428571428573,
2025-10-19,22.5,
2025-10-26,22.5,
2025-11-02,22.5,
2025-11-09,22.071428571428573,
2025-11-16,22.5,
2025-11-23,22.5,
2025-11-30,24.642857142857142,
2025-12-07,27.0,
2025-12-14,,27.992235195319346
2025-12-21,,28.618259875074415
2025-12-28,,29.00669885834772
2026-01-04,,29.2409740945999
2026-01-11,,29.375190395806253
2026-01-18,,29.4444384149401
2026-01-25,,29.471476828746432
2026-02-01,,29.47106618806415
2026-02-08,,29.452779714724603
2026-02-15,,29.42282629464489
2026-02-22,,28.430116371322526
2026-03-01,,28.20586602528438
2026-03-08,,28.15990970947332
2026-03-15,,28.111717502837728
2026-03-22,,29.017118357805092
2026-03-29,,28.966341502939976
2026-04-05,,28.914803090774182
2026-04-12,,28.86269750424525
2026-04-19,,28.810150813918007
2026-04-26,,28.757244785134173
2026-05-03,,27.836892183590997
2026-05-10,,27.78340793248883
2026-05-17,,27.72967407386675
2026-05-24,,28.542845339849848
2026-05-31,,28.4886505841695
2026-06-07,,28.806409746220076
2026-06-14,,28.751779594692614
2026-06-21,,28.69693627854613
2026-06-28,,28.641881458014513
2026-07-05,,28.58661620987244
2026-07-12,,28.531141232481566
